,0,1,2,3,4,5
0,outIRQ_life_expectancy,outIRQ_pop_density,not_outIRQ_participation_in_education_and_training,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,,
1,outIRQ_life_expectancy,outIRQ_pop_density,not_outIRQ_participation_in_education_and_training,not_outIRQ_health_personnel_by_nuts2,,
2,outIRQ_life_expectancy,outIRQ_utilised_agricultural_area,not_outIRQ_participation_in_education_and_training,not_outIRQ_health_personnel_by_nuts2,,
3,outIRQ_life_expectancy,outIRQ_pop_density,outIRQ_utilised_agricultural_area,not_outIRQ_participation_in_education_and_training,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,
4,outIRQ_life_expectancy,outIRQ_pop_density,outIRQ_utilised_agricultural_area,not_outIRQ_participation_in_education_and_training,not_outIRQ_health_personnel_by_nuts2,
5,outIRQ_life_expectancy,outIRQ_pop_density,not_outIRQ_participation_in_education_and_training,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,not_outIRQ_health_personnel_by_nuts2,
6,outIRQ_life_expectancy,outIRQ_pop_density,not_outIRQ_participation_in_education_and_training,not_outIRQ_available_hospital_beds_nuts2,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,
7,outIRQ_life_expectancy,outIRQ_utilised_agricultural_area,not_outIRQ_participation_in_education_and_training,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,not_outIRQ_health_personnel_by_nuts2,
8,outIRQ_health_personnel_by_nuts2,outIRQ_utilised_agricultural_area,not_outIRQ_life_expectancy,not_outIRQ_available_hospital_beds_nuts2,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,
9,outIRQ_life_expectancy,outIRQ_pop_density,outIRQ_utilised_agricultural_area,not_outIRQ_participation_in_education_and_training,not_outIRQ_young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2,not_outIRQ_health_personnel_by_nuts2
